Target1 , The letters are green. , Target_B_dots_green_.png , True , 4-8
Filler-Target2 , All letters are green. , Target_B_dots_blue_.png , False , X-X
Filler-Target2 , All letters are red. , Target_B_dots_blue_.png , True , X-X
Target2 , Between 4 and 8 dots form a triangle. , Target_A_dots_red_triangle_below_.png , Target , 4-8
Target2 , Between 5 and 9 dots form a square. , Target_A_dots_green_square_above_.png , Target , 5-9
Target2 , Between 4 and 8 dots form a triangle. , Target_A_dots_blue_triangle_below_.png , Target , 4-8
Target2 , Between 5 and 9 dots form a square. , Target_A_dots_blue_square_below_.png , Target , 5-9
Filler-Target2 , All dots are green. , Target_A_dots_blue_triangle_below_.png , False , X-X
Filler-Target2 , All dots are blue. , Target_A_dots_blue_triangle_below_.png , True , X-X
Target2 , Between 4 and 8 crosses form a triangle. , Target_A_crosses_blue_triangle_above_.png , Target , 4-8
Target2 , Between 5 and 9 crosses form a square. , Target_A_crosses_blue_square_below_.png , Target , 5-9
Target2 , Between 4 and 8 crosses form a triangle. , Target_A_crosses_red_triangle_below_.png , Target , 4-8
Target2 , Between 5 and 9 crosses form a square. , Target_A_crosses_blue_square_below_.png , Target , 5-9
Filler-Target2 , All crosses are green. , Target_A_crosses_red_triangle_above_.png , False , X-X
Filler-Target2 , All crosses are red. , Target_A_crosses_red_triangle_above_.png , False , X-X
Target2 , Between 4 and 8 crosses form a triangle. , Target_A_crosses_blue_triangle_above_.png , Target , 4-8
Target2 , Between 5 and 9 crosses form a square. , Target_A_crosses_blue_square_below_.png , Target , 5-9
Target2 , Between 4 and 8 crosses form a triangle. , Target_A_crosses_blue_triangle_below_.png , Target , 4-8
Target2 , Between 5 and 9 crosses form a square. , Target_A_crosses_blue_square_below_.png , Target , 5-9
Filler-Target2 , All crosses are red. , Target_A_crosses_blue_triangle_below_.png , False , X-X
Filler-Target2 , All crosses are red. , Target_A_crosses_blue_triangle_below_.png , False , X-X
Env-F , Between 6 and 10 dots surround their letter. , False_B_dots_red_.png , False , 6-10
Env-F , Between 5 and 9 dots surround their letter. , False_B_dots_green_.png , False , 5-9
Env-F , Between 6 and 10 dots surround their letter. , False_B_dots_green_.png , False , 6-10
Env-F , Between 5 and 9 dots surround their letter. , False_B_dots_green_.png , False , 5-9
Filler-Env-F , Some letters are green. , False_B_dots_green_.png , True , X-X
Filler-Env-F , Some letters are green. , False_B_dots_green_.png , True , X-X
Env-F , Between 6 and 10 dots surround their letter. , False_B_dots_blue_.png , False , 6-10
Env-F , Between 5 and 9 dots surround their letter. , False_B_dots_blue_.png , False , 5-9
Env-F , Between 6 and 10 dots surround their letter. , False_B_dots_blue_.png , False , 6-10
Env-F , Between 5 and 9 dots surround their letter. , False_B_dots_blue_.png , False , 5-9
Filler-Env-F , Some dots are blue. , False_A_dots_blue_triangle_below_.png , True , X-X
Filler-Env-F , Some dots are blue. , False_A_dots_blue_triangle_below_.png , True , X-X
Env-F , Between 6 and 10 crosses surround their letter. , False_B_crosses_blue_.png , False , 6-10
Env-F , Between 5 and 9 crosses surround their letter. , False_B_crosses_green_.png , False , 5-9
Env-F , Between 6 and 10 crosses surround their letter. , False_B_crosses_green_.png , False , 6-10
Env-F , Between 5 and 9 crosses surround their letter. , False_B_crosses_green_.png , False , 5-9
Filler-Env-F , Some letters are green. , False_B_crosses_green_.png , True , X-X
Filler-Env-F , Some letters are green. , False_B_crosses_green_.png , True , X-X
Env-F , Between 6 and 10 crosses surround their letter. , False_B_crosses_red_.png , False , 6-10
Env-F , Between 5 and 9 crosses surround their letter. , False_B_crosses_green_.png , False , 5-9
Env-F , Between 6 and 10 crosses surround their letter. , False_B_crosses_green_.png , False , 6-10
Env-F , Between 5 and 9 crosses surround their letter. , False_B_crosses_blue_.png , False , 5-9
Filler-Env-F , Some letters are green. , False_B_crosses_green_.png , True , X-X
Filler-Env-F , Some letters are blue. , False_B_crosses_green_.png , True , X-X
Env-T , Between 6 and 10 dots surround their letter. , True_B_dots_blue_.png , True , 6-10
Env-T , Between 5 and 9 dots surround their letter. , True_B_dots_red_.png , True , 5-9
Env-T , Between 6 and 10 dots surround their letter. , True_B_dots_green_.png , True , 6-10
Env-T , Between 5 and 9 dots surround their letter. , True_B_dots_red_.png , True , 5-9
Filler-Env-T , Some letters are red. , True_B_dots_green_.png , False , X-X
Filler-Env-T , Some letters are green. , True_B_dots_green_.png , False , X-X
Env-T , Between 6 and 10 dots surround their letter. , True_B_dots_red_.png , True , 6-10
Env-T , Between 5 and 9 dots surround their letter. , True_B_dots_green_.png , True , 5-9
Env-T , Between 6 and 10 dots surround their letter. , True_B_dots_blue_.png , True , 6-10
Env-T , Between 5 and 9 dots surround their letter. , True_B_dots_blue_.png , True , 5-9
Filler-Env-T , Some letters are red. , True_B_dots_blue_.png , False , X-X
Filler-Env-T , Some letters are green. , True_B_dots_blue_.png , False , X-X
Env-T , Between 6 and 10 crosses surround their letter. , True_B_crosses_red_.png , True , 6-10
Env-T , Between 5 and 9 crosses surround their letter. , True_B_crosses_blue_.png , True , 5-9
Env-T , Between 6 and 10 crosses surround their letter. , True_B_crosses_blue_.png , True , 6-10
Env-T , Between 5 and 9 crosses surround their letter. , True_B_crosses_green_.png , True , 5-9
Filler-Env-T , Some letters are green. , True_B_crosses_blue_.png , False , X-X
Filler-Env-T , Some letters are red. , True_B_crosses_blue_.png , False , X-X
Env-T , Between 6 and 10 crosses surround their letter. , True_B_crosses_blue_.png , True , 6-10
Env-T , Between 5 and 9 crosses surround their letter. , True_B_crosses_blue_.png , True , 5-9
Env-T , Between 6 and 10 crosses surround their letter. , True_B_crosses_blue_.png , True , 6-10
Env-T , Between 5 and 9 crosses surround their letter. , True_B_crosses_blue_.png , True , 5-9
Filler-Env-T , Some letters are green. , True_B_crosses_blue_.png , False , X-X
Filler-Env-T , Some letters are red. , True_B_crosses_blue_.png , False , X-X
